gender,age,survey_score,days_member,days_last_visit
F,23,8,98,0
M,30,8,122,17
M,29,9,105,5
M,39,3,30,4
F,18,8,221,3
F,57,2,182,59
M,59,3,207,89
F,25,8,176,2
M,44,4,36,32
M,49,3,123,47
F,45,3,265,65
M,18,8,226,0
M,44,3,282,33
M,31,8,100,10
M,39,3,30,30
F,23,8,296,2
M,26,8,283,1
M,35,9,114,1
F,23,10,102,1
F,43,3,48,48
M,44,4,192,4
F,22,8,151,3
M,23,8,339,4
F,33,8,137,9
M,38,8,292,16
F,35,8,229,13
M,49,3,237,41
M,47,4,179,16
F,41,2,260,31
M,47,3,225,6
M,45,2,30,30
F,58,1,253,132
M,32,8,195,5
M,60,1,285,58
F,43,3,309,33
F,35,8,178,11
M,36,9,61,1
F,24,8,364,0
M,59,3,256,3
F,40,3,128,38
F,54,2,225,88
M,33,8,87,11
M,30,7,254,1
F,43,3,289,51
M,57,1,362,34
F,33,8,352,9
M,44,4,218,70
M,30,8,168,10
M,48,3,310,18
M,28,8,362,5
M,45,3,40,40
M,34,8,122,10
F,31,8,199,11
M,45,3,297,32
M,58,2,132,109
F,35,8,292,16
M,49,3,131,21
F,54,2,190,86
F,44,2,241,23
M,37,9,139,7
F,36,7,192,11
F,39,2,192,29
F,57,1,174,82
M,22,9,115,3
M,59,1,148,64
M,50,3,183,35
F,19,7,30,2
F,33,8,104,14
M,57,1,259,88
M,55,3,313,113
M,53,2,131,71
F,35,8,213,9
M,47,3,30,14
M,54,1,206,157
F,29,8,354,0
M,23,8,292,2
F,55,1,288,81
M,33,8,334,6
F,43,3,365,53
M,35,7,30,12
F,39,4,77,48
M,38,3,283,35
F,59,1,217,124
F,58,1,251,127
F,55,1,196,94
F,53,2,262,131
M,18,8,166,3
M,25,9,148,3
M,54,2,330,91
F,48,4,197,44
M,20,8,30,3
F,54,2,325,64
M,39,3,292,43
F,35,7,82,16
F,42,3,268,8
M,43,3,361,46
M,37,3,191,23
F,28,9,134,6
M,35,10,233,20
M,27,8,136,4
F,40,3,188,23
M,58,1,90,90
F,57,2,239,95
M,55,2,231,89
M,21,9,30,4
M,65,3,340,56
F,45,3,332,63
M,35,9,358,8
F,44,2,277,43
F,58,3,237,123
F,36,8,239,3
M,42,4,244,44
F,29,9,73,3
F,36,3,201,24
M,63,2,30,30
F,42,4,180,22
F,34,8,137,2
F,33,8,217,17
M,35,8,190,8
M,53,2,362,54
F,33,9,202,9
M,43,3,218,51
F,29,8,164,1
F,33,8,198,6
F,51,3,219,3
F,40,3,154,31
M,31,9,128,5
M,55,1,271,67
F,26,7,222,3
F,33,8,246,8
F,51,1,98,40
F,60,3,188,89
F,36,8,192,11
M,37,3,352,43
M,38,3,259,29
M,42,3,110,29
M,48,3,130,21
M,35,9,252,16
M,50,4,277,45
F,36,8,98,4
M,50,2,62,46
F,47,3,263,46
M,25,7,44,2
F,56,1,135,96
F,32,9,277,7
F,30,8,159,13
F,26,8,216,2
M,57,3,30,30
M,36,4,159,28
F,54,2,115,65
M,35,9,141,7
F,50,3,106,6
M,61,2,228,100
F,38,4,209,40
F,36,8,364,7
F,24,8,248,1
M,58,1,269,115
F,43,3,107,52
F,32,9,114,5
F,37,8,115,2
M,51,1,162,64
M,38,3,217,54
M,38,4,129,38
F,38,7,286,14
M,45,4,332,12
M,40,4,228,20
F,38,3,242,52
M,61,1,246,112
F,38,4,105,0
M,56,3,147,38
M,47,2,113,52
M,31,8,230,6
F,60,2,95,36
M,47,4,167,8
F,27,9,69,2
F,55,2,194,65
M,39,9,138,13
F,26,8,294,2
M,34,9,30,7
F,24,8,170,2
M,42,3,107,57
M,41,3,171,57
M,41,4,312,44
M,60,2,219,60
M,39,3,313,29
M,47,3,235,53
M,33,8,238,4
F,25,8,117,2
F,53,1,47,35
F,40,4,71,41
M,40,3,288,39
M,43,3,233,25
M,42,2,148,70
F,34,9,176,3
F,55,2,363,45
F,51,1,140,131
F,23,9,113,2
F,55,1,122,82
F,61,3,213,125
M,28,8,241,0
F,56,2,161,33
F,23,9,364,1
M,55,1,72,72
F,35,7,270,9
M,42,2,115,47
M,46,2,140,35
M,39,8,86,20
M,45,3,142,53
M,41,4,30,27
F,53,2,213,46
M,31,8,140,9
F,40,4,275,51
F,44,3,321,26
F,51,2,108,106
F,37,8,142,6
F,43,3,68,6
M,49,4,206,35
F,22,8,121,4
F,22,10,211,4
M,55,1,143,104
F,57,1,46,46
M,48,3,90,22
M,40,2,30,30
F,31,8,138,7
F,36,8,94,13
F,54,2,163,85
M,38,4,315,16
F,41,3,31,31
M,62,2,96,96
F,35,10,364,13
M,41,3,53,9
M,63,1,289,134
F,34,8,131,3
M,29,8,47,0
F,50,3,219,20
F,51,1,247,67
M,53,2,176,14
M,34,7,311,14
F,30,8,147,10
M,37,9,359,5
F,59,1,199,91
M,25,8,145,2
F,37,2,319,26
M,58,2,156,93
M,38,9,30,13
F,31,7,346,5
F,36,9,228,4
F,43,2,64,0
M,45,3,232,53
M,32,8,60,9
M,36,3,71,14
M,52,1,42,42
F,38,3,190,40
F,47,3,254,58
F,53,1,68,68
M,29,8,350,0
F,44,3,254,50
M,34,9,138,22
M,38,3,171,30
M,47,3,30,25
M,42,4,195,35
F,46,4,155,32
F,31,9,174,20
M,37,3,162,45
M,33,8,160,6
M,52,2,137,137
M,59,3,205,51
M,37,3,223,37
M,58,2,127,62
M,51,2,98,30
M,57,1,250,29
F,32,8,272,9
M,43,4,149,35
F,36,7,118,4
M,50,4,328,56
F,44,3,264,13
F,37,3,303,41
F,55,2,168,50
M,24,8,208,3
M,39,2,361,45
M,56,1,247,4
M,65,3,292,50
M,60,1,166,59
F,31,8,343,7
F,33,8,225,0
M,36,8,226,17
M,38,8,167,9
F,34,9,56,11
M,56,1,43,43
F,56,2,53,40
M,26,8,277,2
M,34,8,306,27
M,62,3,174,123
M,57,2,184,102
F,46,2,318,28
M,42,3,30,12
F,60,1,363,117
M,40,3,197,38
M,27,9,66,3
M,42,4,278,14
M,40,2,136,26
F,25,7,290,0
F,56,3,30,30
F,33,7,245,18
M,65,1,249,44
F,51,2,163,61
M,24,9,139,3
F,37,8,257,8
F,23,8,211,2
M,57,3,293,125
F,43,3,53,36
F,22,8,162,2
F,34,8,202,3
M,40,3,200,43
M,47,3,146,5
M,34,8,30,10
M,35,9,181,8
F,45,3,247,28
M,51,3,181,72
M,43,3,361,24
F,33,7,225,12
M,36,8,259,1
F,36,3,143,40
M,34,8,112,20
F,36,8,174,15
F,25,8,113,2
M,25,8,271,2
F,34,7,222,15
F,31,8,215,3
F,36,9,30,6
M,49,2,210,39
M,46,3,332,22
M,40,3,122,34
F,65,2,204,72
M,37,8,359,1
F,53,1,84,76
F,56,3,162,97
M,33,7,77,12
M,29,8,74,0
M,29,8,144,2
F,46,3,65,39
M,44,4,342,16
M,53,2,48,48
M,56,1,314,104
M,43,3,30,30
M,47,2,350,33
M,42,3,126,29
F,46,4,199,23
F,20,8,263,0
F,47,3,30,30
M,35,8,141,8
M,45,4,321,43
M,44,2,75,47
M,39,3,162,23
M,63,2,248,86
F,65,2,214,135
M,33,8,189,1
F,42,3,247,19
M,58,2,133,122
M,56,2,126,117
M,56,2,109,109
M,24,8,181,3
M,23,9,182,4
F,52,2,198,127
F,30,8,189,12
M,59,1,223,94
F,53,3,312,77
F,60,3,30,30
M,61,1,248,94
M,40,3,345,1
F,34,9,278,11
F,43,2,143,34
F,24,8,70,4
M,49,3,188,49
F,48,3,365,20
M,53,2,268,48
F,60,2,140,94
F,36,4,136,42
F,51,1,241,122
M,60,2,170,106
F,21,8,270,1
M,38,3,156,58
M,53,2,30,30
M,45,3,165,12
M,36,7,181,12
M,57,3,245,141
F,21,9,232,6
F,56,2,49,49
F,39,2,82,45
F,48,3,141,10
M,65,1,198,50
F,34,8,166,4
F,36,8,262,11
M,51,1,345,32
M,65,1,130,69
M,32,8,327,1
F,32,8,325,14
M,21,8,74,0
M,24,10,363,2
M,44,3,285,21
M,40,4,225,29
M,55,2,125,26
M,57,2,219,119
F,41,2,164,16
F,50,3,30,30
M,39,3,361,48
M,58,2,126,96
F,36,8,30,10
M,47,3,74,26
M,38,7,359,10
M,51,1,33,33
F,50,3,201,33
M,25,8,30,3
F,61,3,101,101
M,40,2,248,37
M,21,7,92,5
M,45,3,225,27
M,45,3,182,58
M,40,3,126,40
F,47,3,365,38
M,35,7,306,14
M,35,8,232,1
F,53,1,277,105
F,35,7,215,11
